;Value;tweet;cleaning;tweet_tokens
23;Negatif;udah faksin pertama astra 2 bulan yg lalu smpe skrg aku udh chek di aplikasi @plindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;udah faksin pertama astra bulan yg lalu smpe skrg aku udh chek di aplikasi kok blum ada sertifikat vaksin itu kenapa ya kira kira;['udah', 'faksin', 'pertama', 'astra', 'bulan', 'yg', 'lalu', 'smpe', 'skrg', 'aku', 'udh', 'chek', 'di', 'aplikasi', 'kok', 'blum', 'ada', 'sertifikat', 'vaksin', 'itu', 'kenapa', 'ya', 'kira', 'kira']
24;Negatif;udah 2hr ya ini masa iya blm bisa, sistem loh ini! kecerobohan input nik vaksin, sangat merugikan pemilik nik! @plindungi;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik;['udah', 'hr', 'ya', 'ini', 'masa', 'iya', 'blm', 'bisa', 'sistem', 'loh', 'ini', 'kecerobohan', 'input', 'nik', 'vaksin', 'sangat', 'merugikan', 'pemilik', 'nik']
25;Negatif;"uda lari-lari trs pas mau naik, pintu keretanya ketutup gara2 scan apk pedulilindungi dulu is another ""anjiiiiing"" ð";uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing;['uda', 'larilari', 'trs', 'pas', 'mau', 'naik', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'dulu', 'is', 'another', 'anjiiiiing']
26;Negatif;trus ternyata dah telat anjirð­ pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit ð®ââï¸: sok atu download dulu ð§: gabisa pa memorinya abisð­ ð®ââï¸: ....;trus ternyata dah telat anjir pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit sok atu download dulu gabisa pa memorinya abis;['trus', 'ternyata', 'dah', 'telat', 'anjir', 'pa', 'satpam', 'minta', 'scan', 'pedulilindungi', 'pula', 'kan', 'memori', 'aing', 'ga', 'cukup', 'anjrit', 'sok', 'atu', 'download', 'dulu', 'gabisa', 'pa', 'memorinya', 'abis']
27;Negatif;"trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap, pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis 1 ( tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua):""(((";trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua;['trus', 'papa', 'aku', 'malah', 'diminta', 'vaksin', 'kedua', 'padahal', 'vaksinnya', 'udah', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'aja', 'sertifitkat', 'vaksinnya', 'cuma', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'pertama', 'papa', 'aku', 'malah', 'tgl', 'dimana', 'dia', 'vaksin', 'kedua']
28;Negatif;trus aku coba buka app peduli lindungi punyaku, dpt notif lg suruh apdetâ¦ omg apaseeee prasaan baru kapan hari aku apdet, skrg dah disuruh apdet lagiâ¦ laposee apdet apdet terus aplikasine;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdet omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagi laposee apdet apdet terus aplikasine;['trus', 'aku', 'coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'dpt', 'notif', 'lg', 'suruh', 'apdet', 'omg', 'apaseeee', 'prasaan', 'baru', 'kapan', 'hari', 'aku', 'apdet', 'skrg', 'dah', 'disuruh', 'apdet', 'lagi', 'laposee', 'apdet', 'apdet', 'terus', 'aplikasine']
29;Negatif;tp ini mslhny apk peduli lindungi gw kok gada data vaksin w sic;tp ini mslhny apk peduli lindungi gw kok gada data vaksin  sic;['tp', 'ini', 'mslhny', 'apk', 'peduli', 'lindungi', 'gw', 'kok', 'gada', 'data', 'vaksin', 'sic']
30;Negatif;tombol check out tanpa scan qr code-nya sudah ngga tersedia, @plindungi ?  https://t.co/jtjbsqdzo2;tombol check out tanpa scan qr codenya sudah ngga tersedia;['tombol', 'check', 'out', 'tanpa', 'scan', 'qr', 'codenya', 'sudah', 'ngga', 'tersedia']
31;Negatif;tolonglah untuk petugas vaksin kalau input data yang benar &amp;tolonglah untuk petugas vaksin kalau input data yang benar amp;['tolonglah', 'untuk', 'petugas', 'vaksin', 'kalau', 'input', 'data', 'yang', 'benar', 'amp']
32;Negatif;tolongin ini kenapa, udah hubungi email pedulilindungi@kominfo.go.id ga ada balesan, hubungi sertifikat@pedulilindungi.id malah disuruh hubungi email yang pedulilindungi@kominfo.go.id. tolong bantuin, aku susah masuk ke tempat umum dan transportasi umum??? @plindungi @kemkominfo  https://t.co/qe3axecifu;tolongin ini kenapa udah hubungi email pedulilindungi goid ga ada balesan hubungi sertifikat id malah disuruh hubungi email yang pedulilindungi goid tolong bantuin aku susah masuk ke tempat umum dan transportasi umum;['tolongin', 'ini', 'kenapa', 'udah', 'hubungi', 'email', 'pedulilindungi', 'goid', 'ga', 'ada', 'balesan', 'hubungi', 'sertifikat', 'id', 'malah', 'disuruh', 'hubungi', 'email', 'yang', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'aku', 'susah', 'masuk', 'ke', 'tempat', 'umum', 'dan', 'transportasi', 'umum']
33;Negatif;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu ..karena sudah mengabaikan protokol kesehatan #dinkes #pelabuhanratu #jawabarat #pedulilindungi #prokesketat #gubernurjawabarat  https://t.co/szqnlqqqs4;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu karena sudah mengabaikan protokol kesehatan;['tolong', 'segera', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'karena', 'sudah', 'mengabaikan', 'protokol', 'kesehatan']
34;Negatif;tolong dong ini gimana caranya deh, gmail gw kaga bisa di pake sama sekali, gw mau login di pedulilindungi @gmail;tolong dong ini gimana caranya deh gmail gw kaga bisa di pake sama sekali gw mau login di pedulilindungi;['tolong', 'dong', 'ini', 'gimana', 'caranya', 'deh', 'gmail', 'gw', 'kaga', 'bisa', 'di', 'pake', 'sama', 'sekali', 'gw', 'mau', 'login', 'di', 'pedulilindungi']
35;Negatif;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas,ð­;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas;['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'malah', 'ora', 'enek', 'seng', 'peduli', 'blas']
36;Negatif;terus gunanya vaksin apa dong kalo pd masih takut tertular? apa kalian ga mau kembali hidup normal, layaknya sblm covid yg ga harus selalu pake masker kemana mana, ga ada persyaratan mcm pedulilindungi, dan bisa bikin kerumunan?;terus gunanya vaksin apa dong kalo pd masih takut tertular apa kalian ga mau kembali hidup normal layaknya sblm covid yg ga harus selalu pake masker kemana mana ga ada persyaratan mcm pedulilindungi dan bisa bikin kerumunan;['terus', 'gunanya', 'vaksin', 'apa', 'dong', 'kalo', 'pd', 'masih', 'takut', 'tertular', 'apa', 'kalian', 'ga', 'mau', 'kembali', 'hidup', 'normal', 'layaknya', 'sblm', 'covid', 'yg', 'ga', 'harus', 'selalu', 'pake', 'masker', 'kemana', 'mana', 'ga', 'ada', 'persyaratan', 'mcm', 'pedulilindungi', 'dan', 'bisa', 'bikin', 'kerumunan']
37;Negatif;ternyata tidak mudah menjadi warga negara yang baik. maksud hati menuruti aturan pemerintah, apa daya terbentur mekanisme yang entah lah.... @plindungi @pedulilindungi  https://t.co/9uqzferkyu;ternyata tidak mudah menjadi warga negara yang baik maksud hati menuruti aturan pemerintah apa daya terbentur mekanisme yang entah lah;['ternyata', 'tidak', 'mudah', 'menjadi', 'warga', 'negara', 'yang', 'baik', 'maksud', 'hati', 'menuruti', 'aturan', 'pemerintah', 'apa', 'daya', 'terbentur', 'mekanisme', 'yang', 'entah', 'lah']
38;Negatif;ternyata data gue belum diinput. terus mereka ngapain ngedata gue pas ditempat vaksin? kalo trnyata gak diinput? gue minta kontak untuk pengaduan tp mereka malah bilang 100% menerima dr faskes. @plindungi  https://t.co/cr1ylttq6b;ternyata data gue belum diinput terus mereka ngapain ngedata gue pas ditempat vaksin kalo trnyata gak diinput gue minta kontak untuk pengaduan tp mereka malah bilang menerima dr faskes;['ternyata', 'data', 'gue', 'belum', 'diinput', 'terus', 'mereka', 'ngapain', 'ngedata', 'gue', 'pas', 'ditempat', 'vaksin', 'kalo', 'trnyata', 'gak', 'diinput', 'gue', 'minta', 'kontak', 'untuk', 'pengaduan', 'tp', 'mereka', 'malah', 'bilang', 'menerima', 'dr', 'faskes']
39;Negatif;temen yang diajak nonton malah vaksinnya gak ke deteksi di pedulilindungi, mending nontonnya besok saja lah ðð;temen yang diajak nonton malah vaksinnya gak ke deteksi di pedulilindungi mending nontonnya besok saja lah;['temen', 'yang', 'diajak', 'nonton', 'malah', 'vaksinnya', 'gak', 'ke', 'deteksi', 'di', 'pedulilindungi', 'mending', 'nontonnya', 'besok', 'saja', 'lah']
40;Negatif;telat 3 menit gara2 scan qr pedulilindungi error terus;telat menit gara scan qr pedulilindungi error terus;['telat', 'menit', 'gara', 'scan', 'qr', 'pedulilindungi', 'error', 'terus']
41;Negatif;tanyarl, hi! ada yg sertifikal v4ks1n nya salah nama ga? aku mau ajuin v4ks1n ke 2 gagal mulu di peduli lindungi karna nama, masa harus ditypoin? ð­ harus gimana ya? pls help me guys ð­ðð»  https://t.co/rlycaas7zs;tanyarl hi ada yg sertifikal vksn nya salah nama ga aku mau ajuin vksn ke gagal mulu di peduli lindungi karna nama masa harus ditypoin harus gimana ya pls help me guys;['tanyarl', 'hi', 'ada', 'yg', 'sertifikal', 'vksn', 'nya', 'salah', 'nama', 'ga', 'aku', 'mau', 'ajuin', 'vksn', 'ke', 'gagal', 'mulu', 'di', 'peduli', 'lindungi', 'karna', 'nama', 'masa', 'harus', 'ditypoin', 'harus', 'gimana', 'ya', 'pls', 'help', 'me', 'guys']
42;Negatif;tanyarl kan aku mau vaksieen ke-2 tp gada kertas vaksien nya, terus aku coba di peduli lindungi tapi nik nya gak valid. itu kira2 kenapa yaaa???  https://t.co/b5q9vid7f0;tanyarl kan aku mau vaksieen ke tp gada kertas vaksien nya terus aku coba di peduli lindungi tapi nik nya gak valid itu kira kenapa yaaa;['tanyarl', 'kan', 'aku', 'mau', 'vaksieen', 'ke', 'tp', 'gada', 'kertas', 'vaksien', 'nya', 'terus', 'aku', 'coba', 'di', 'peduli', 'lindungi', 'tapi', 'nik', 'nya', 'gak', 'valid', 'itu', 'kira', 'kenapa', 'yaaa']
43;Negatif;tai lah udah buru buru ke rumah sakit end up nya di prank sama @pedulilindungi @kemenkesri astra zeneca 3 bulan blok.  https://t.co/qbk8wdtowm;tai lah udah buru buru ke rumah sakit end up nya di prank sama astra zeneca bulan blok;['tai', 'lah', 'udah', 'buru', 'buru', 'ke', 'rumah', 'sakit', 'end', 'up', 'nya', 'di', 'prank', 'sama', 'astra', 'zeneca', 'bulan', 'blok']
44;Negatif;tadi siang mau bukak peduli lindungi malah bukak kita bisa , tolol bgt asli;tadi siang mau bukak peduli lindungi malah bukak kita bisa tolol bgt asli;['tadi', 'siang', 'mau', 'bukak', 'peduli', 'lindungi', 'malah', 'bukak', 'kita', 'bisa', 'tolol', 'bgt', 'asli']
45;Negatif;syg! paksin dosis pertama dan kedua tuh harus ditempat yang sama apa bisa di beda tmpt? soalnya aku dosis 1nya di cirebon,trs skrg ngerantau ke garut, untk dosis 2 di pedulilindungi hrsnya di crbn,tp kalo pulang hanya utk paksin kan gmn ya capek dijalanð­ wahyu;syg paksin dosis pertama dan kedua tuh harus ditempat yang sama apa bisa di beda tmpt soalnya aku dosis nya di cirebontrs skrg ngerantau ke garut untk dosis di pedulilindungi hrsnya di crbntp kalo pulang hanya utk paksin kan gmn ya capek dijalan wahyu;['syg', 'paksin', 'dosis', 'pertama', 'dan', 'kedua', 'tuh', 'harus', 'ditempat', 'yang', 'sama', 'apa', 'bisa', 'di', 'beda', 'tmpt', 'soalnya', 'aku', 'dosis', 'nya', 'di', 'cirebontrs', 'skrg', 'ngerantau', 'ke', 'garut', 'untk', 'dosis', 'di', 'pedulilindungi', 'hrsnya', 'di', 'crbntp', 'kalo', 'pulang', 'hanya', 'utk', 'paksin', 'kan', 'gmn', 'ya', 'capek', 'dijalan', 'wahyu']
46;Negatif;syg! kenapa status vaksinasi aku merah ya? padahal udah vaksin dan ada sertifnya di peduli lindungi  https://t.co/0qqt1nb3dg;syg kenapa status vaksinasi aku merah ya padahal udah vaksin dan ada sertifnya di peduli lindungi;['syg', 'kenapa', 'status', 'vaksinasi', 'aku', 'merah', 'ya', 'padahal', 'udah', 'vaksin', 'dan', 'ada', 'sertifnya', 'di', 'peduli', 'lindungi']
47;Negatif;susah amat ini cuma daftar qr code @plindungi . coba daftar via email, dibales 1 bulan kemudian dengan reply link untuk regist. oke.. giliran dicoba link tsb, setelah diisi dapat info bhw akan dapat reply konfirmasi 1 x 24 jam, ini udah mau 3 hari belum ada balesan @ditpromkes;susah amat ini cuma daftar qr code coba daftar via email dibales bulan kemudian dengan reply link untuk regist oke giliran dicoba link tsb setelah diisi dapat info bhw akan dapat reply konfirmasi  jam ini udah mau hari belum ada balesan;['susah', 'amat', 'ini', 'cuma', 'daftar', 'qr', 'code', 'coba', 'daftar', 'via', 'email', 'dibales', 'bulan', 'kemudian', 'dengan', 'reply', 'link', 'untuk', 'regist', 'oke', 'giliran', 'dicoba', 'link', 'tsb', 'setelah', 'diisi', 'dapat', 'info', 'bhw', 'akan', 'dapat', 'reply', 'konfirmasi', 'jam', 'ini', 'udah', 'mau', 'hari', 'belum', 'ada', 'balesan']
48;Negatif;suka bingung sama aturan dari @pt_transjakarta sebenernya wajib gak sich scan barcode di peduli lindungi???berapa kali w nemu penumpang di halte transjakarta halimun gak scanbarcode di bolehin masuk sama petugasnya....cobalah klo bikin aruran dilaksanakan;suka bingung sama aturan dari transjakarta sebenernya wajib gak sich scan barcode di peduli lindungiberapa kali  nemu penumpang di halte transjakarta halimun gak scanbarcode di bolehin masuk sama petugasnyacobalah klo bikin aruran dilaksanakan;['suka', 'bingung', 'sama', 'aturan', 'dari', 'transjakarta', 'sebenernya', 'wajib', 'gak', 'sich', 'scan', 'barcode', 'di', 'peduli', 'lindungiberapa', 'kali', 'nemu', 'penumpang', 'di', 'halte', 'transjakarta', 'halimun', 'gak', 'scanbarcode', 'di', 'bolehin', 'masuk', 'sama', 'petugasnyacobalah', 'klo', 'bikin', 'aruran', 'dilaksanakan']
49;Negatif;sudah minggu ketiga tapi sertifikat vaksin kedua anak saya belum muncul di aplikasi @plindungi gimana nih????;sudah minggu ketiga tapi sertifikat vaksin kedua anak saya belum muncul di aplikasi gimana nih;['sudah', 'minggu', 'ketiga', 'tapi', 'sertifikat', 'vaksin', 'kedua', 'anak', 'saya', 'belum', 'muncul', 'di', 'aplikasi', 'gimana', 'nih']
50;Negatif;sudah lama imil perubahan nik yg tertukar di @plindungi kok gak diganti2. nik kakak tertukar dg adiknya. diakses yo susah.;sudah lama imil perubahan nik yg tertukar di kok gak diganti nik kakak tertukar dg adiknya diakses yo susah;['sudah', 'lama', 'imil', 'perubahan', 'nik', 'yg', 'tertukar', 'di', 'kok', 'gak', 'diganti', 'nik', 'kakak', 'tertukar', 'dg', 'adiknya', 'diakses', 'yo', 'susah']
51;Negatif;sudah download aplikasi @plindungi dan sudah dapat balasan, tinggal nata baju dan make up untuk persiapan rias pengantin dibeberapa tempat dan ada yang luar kota, ntar sueb juga to?. okelah negara melindungi warganya namun selama pandemi covid-19 berapa duit hasil sueb masuk?  https://t.co/zbgonijmrc;sudah download aplikasi dan sudah dapat balasan tinggal nata baju dan make up untuk persiapan rias pengantin dibeberapa tempat dan ada yang luar kota ntar sueb juga to okelah negara melindungi warganya namun selama pandemi covid berapa duit hasil sueb masuk;['sudah', 'download', 'aplikasi', 'dan', 'sudah', 'dapat', 'balasan', 'tinggal', 'nata', 'baju', 'dan', 'make', 'up', 'untuk', 'persiapan', 'rias', 'pengantin', 'dibeberapa', 'tempat', 'dan', 'ada', 'yang', 'luar', 'kota', 'ntar', 'sueb', 'juga', 'to', 'okelah', 'negara', 'melindungi', 'warganya', 'namun', 'selama', 'pandemi', 'covid', 'berapa', 'duit', 'hasil', 'sueb', 'masuk']
52;Negatif;suami udah vaksin dosis 1 dari 2 minggu yg lalu. tp sampe sekarang di cek di pedulilindungi kok data ga ditemukan.  dari puskesmas jg ga dikasih bukti apa?? kalo udh vaksin.  piye? ????;suami udah vaksin dosis dari minggu yg lalu tp sampe sekarang di cek di pedulilindungi kok data ga ditemukan dari puskesmas jg ga dikasih bukti apa kalo udh vaksin piye;['suami', 'udah', 'vaksin', 'dosis', 'dari', 'minggu', 'yg', 'lalu', 'tp', 'sampe', 'sekarang', 'di', 'cek', 'di', 'pedulilindungi', 'kok', 'data', 'ga', 'ditemukan', 'dari', 'puskesmas', 'jg', 'ga', 'dikasih', 'bukti', 'apa', 'kalo', 'udh', 'vaksin', 'piye']
