;Unnamed: 0;Value;tweet;cleaning;tweet_tokens;tweet_tokens_fdist;tweet_token_WSW;normalization;text_stemming;tweet_stopwords
10;10;Negatif;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang ð¢;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang;['waktu', 'itu', 'gue', 'pernah', 'ke', 'mol', 'mau', 'ngescan', 'aplikasi', 'pedulilindungi', 'malah', 'gabisa', 'njrit', 'malu', 'bgt', 'mana', 'di', 'depan', 'orang'];<FreqDist with 19 samples and 19 outcomes>;['gue', 'mol', 'ngescan', 'aplikasi', 'pedulilindungi', 'gabisa', 'njrit', 'malu'];gue mol ngescan aplikasi pedulilindungi enggak bisa njrit malu;gue mol ngescan aplikasi pedulilindungi enggak bisa njrit malu;['gue', 'mol', 'ngescan', 'aplikasi', 'pedulilindungi', 'gabisa', 'njrit', 'malu']
11;11;Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumahð¥²ðð¥²ð; abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumah;['abis', 'balik', 'jkt', 'blm', 'pake', 'peduli', 'lindungi', 'samsek', 'yg', 'artinya', 'kehidupan', 'hanyalah', 'rs', 'dan', 'rumah'];<FreqDist with 15 samples and 15 outcomes>;['abis', 'jkt', 'pake', 'peduli', 'lindungi', 'samsek', 'kehidupan', 'rs', 'rumah'];habis jakarta pakai peduli lindungi samsek kehidupan rs rumah;habis jakarta pakai peduli lindung samsek hidup rs rumah;['abis', 'jkt', 'pake', 'peduli', 'lindungi', 'samsek', 'kehidupan', 'rs', 'rumah']
12;12;Negatif;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu plindungi solusinya apaaaa;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu plindungi solusinya apaaaa;['vaksinnya', 'atau', 'sertifikat', 'nya', 'sedangkan', 'sy', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'bilang', 'blm', 'dpt', 'sertifikat', 'nya', 'dia', 'gamau', 'tau', 'itu', 'anda', 'gak', 'boleh', 'masuk', 'mall', 'katanya', 'terus', 'sy', 'harus', 'ngadu', 'kemana', 'dong', 'pakbu', 'plindungi', 'solusinya', 'apaaaa'];<FreqDist with 33 samples and 38 outcomes>;['vaksinnya', 'sertifikat', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'sertifikat', 'gamau', 'mall', 'ngadu', 'kemana', 'pakbu', 'solusinya', 'apaaaa'];vaksinnya sertifikat kasih kartu vaksinnya security enggak mau terima gue sertifikat enggak mau mall mengadu kemana pakbu plindungi solusinya apaaaa;vaksin sertifikat kasih kartu vaksin security enggak mau terima gue sertifikat enggak mau mall adu mana pakbu solusi apaaaa;['vaksinnya', 'sertifikat', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'sertifikat', 'gamau', 'mall', 'ngadu', 'kemana', 'pakbu', 'plindungi', 'solusinya', 'apaaaa']
13;13;Negatif;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah ð;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah;['vaksin', 'pertama', 'tidak', 'terdaftar', 'di', 'peduli', 'lindungi', 'vaksin', 'kedua', 'lompat', 'rono', 'lompat', 'rene', 'ealah'];<FreqDist with 12 samples and 14 outcomes>;['vaksin', 'terdaftar', 'peduli', 'lindungi', 'vaksin', 'lompat', 'rono', 'lompat', 'rene'];vaksin terdaftar peduli lindungi vaksin lompat rono lompat rene;vaksin daftar peduli lindung vaksin lompat rono lompat rene;['vaksin', 'terdaftar', 'peduli', 'lindungi', 'vaksin', 'lompat', 'rono', 'lompat', 'rene']
14;14;Negatif;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo;['unsr', 'gaes', 'mau', 'tanya', 'klo', 'ikut', 'tes', 'suliet', 'kan', 'pke', 'sertif', 'vaksin', 'klo', 'sy', 'sdh', 'vaksin', 'tp', 'sertif', 'dk', 'pck', 'dibuka', 'krn', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk', 'yo'];<FreqDist with 25 samples and 29 outcomes>;['unsr', 'tes', 'suliet', 'pke', 'sertif', 'vaksin', 'vaksin', 'sertif', 'dk', 'pck', 'dibuka', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk'];unsr tes suliet pakai sertif vaksin vaksin sertif dk pck dibuka akun pedulilindungi eror ada saran dk;unsr tes suliet pakai sertif vaksin vaksin sertif dk pck buka akun pedulilindungi eror ada saran dk;['unsr', 'tes', 'suliet', 'pke', 'sertif', 'vaksin', 'vaksin', 'sertif', 'dk', 'pck', 'dibuka', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk']
15;15;Negatif;uninstall pedulilindungi  install pedulisetan;uninstall pedulilindungi install pedulisetan;['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];<FreqDist with 4 samples and 4 outcomes>;['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];uninstall pedulilindungi install pedulisetan;uninstall pedulilindungi install pedulisetan;['uninstall', 'pedulilindungi', 'install', 'pedulisetan']
16;16;Negatif;uninstall pedulilindungi;uninstall pedulilindungi;['uninstall', 'pedulilindungi'];<FreqDist with 2 samples and 2 outcomes>;['uninstall', 'pedulilindungi'];uninstall pedulilindungi;uninstall pedulilindungi;['uninstall', 'pedulilindungi']
17;17;Negatif;udh vaksin  kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya plindungi pedulilindungi;udh vaksin kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya plindungi pedulilindungi;['udh', 'vaksin', 'kali', 'tapi', 'sertifikat', 'yg', 'kedua', 'belum', 'keluar', 'tolonglahhh', 'kerjasamanya', 'plindungi', 'pedulilindungi'];<FreqDist with 13 samples and 13 outcomes>;['udh', 'vaksin', 'sertifikat', 'tolonglahhh', 'kerjasamanya'];sudah vaksin sertifikat tolonglahhh kerjasamanya plindungi pedulilindungi;sudah vaksin sertifikat tolonglahhh kerjasamanya;['udh', 'vaksin', 'sertifikat', 'tolonglahhh', 'kerjasamanya', 'plindungi', 'pedulilindungi']
18;18;Negatif;udh kirim email ke plindungi soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal  agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm;udh kirim email ke plindungi soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm;['udh', 'kirim', 'email', 'ke', 'plindungi', 'soal', 'sertifikat', 'vaksin', 'kedua', 'yg', 'belum', 'muncul', 'padahal', 'udh', 'vaksin', 'dari', 'tanggal', 'agustus', 'pagi', 'ini', 'dpt', 'sms', 'lgi', 'malahan', 'sertifikat', 'vaksin', 'pertama', 'kan', 'yg', 'gk', 'ada', 'duh', 'sertifikat', 'keduaaa', 'knpa', 'jdi', 'pertama', 'lgi', 'yg', 'di', 'kirimm'];<FreqDist with 32 samples and 41 outcomes>;['udh', 'kirim', 'email', 'sertifikat', 'vaksin', 'muncul', 'udh', 'vaksin', 'tanggal', 'agustus', 'pagi', 'sms', 'lgi', 'sertifikat', 'vaksin', 'sertifikat', 'keduaaa', 'knpa', 'lgi', 'kirimm'];sudah kirim email plindungi sertifikat vaksin muncul sudah vaksin tanggal agustus pagi sms lagi sertifikat vaksin sertifikat keduaaa kenapa lagi kirimm;sudah kirim email sertifikat vaksin muncul sudah vaksin tanggal agustus pagi sms lagi sertifikat vaksin sertifikat keduaaa kenapa lagi kirimm;['udh', 'kirim', 'email', 'plindungi', 'sertifikat', 'vaksin', 'muncul', 'udh', 'vaksin', 'tanggal', 'agustus', 'pagi', 'sms', 'lgi', 'sertifikat', 'vaksin', 'sertifikat', 'keduaaa', 'knpa', 'lgi', 'kirimm']
19;19;Negatif;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;['udh', 'gitu', 'sekarang', 'kaga', 'usah', 'tuh', 'scan', 'peduli', 'lindungi', 'lg', 'yhaaa'];<FreqDist with 11 samples and 11 outcomes>;['udh', 'kaga', 'scan', 'peduli', 'lindungi', 'yhaaa'];sudah kagak scan peduli lindungi ya;sudah kagak scan peduli lindung ya;['udh', 'kaga', 'scan', 'peduli', 'lindungi', 'yhaaa']
20;20;Negatif;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih  soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  wisatajagaprokes;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini wisatajagaprokes;['udah', 'pada', 'install', 'aplikasi', 'pedulilindungi', 'kan', 'kalau', 'belum', 'buruan', 'install', 'gih', 'soalnya', 'kalau', 'mau', 'masuk', 'tempat', 'wisata', 'wajib', 'menggunakan', 'aplikasi', 'ini', 'wisatajagaprokes'];<FreqDist with 19 samples and 22 outcomes>;['install', 'aplikasi', 'pedulilindungi', 'buruan', 'install', 'wisata', 'wajib', 'aplikasi'];install aplikasi pedulilindungi buruan install wisata wajib aplikasi wisatajagaprokes;install aplikasi pedulilindungi buru install wisata wajib aplikasi;['install', 'aplikasi', 'pedulilindungi', 'buruan', 'install', 'wisata', 'wajib', 'aplikasi', 'wisatajagaprokes']
21;21;Negatif;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin;['udah', 'nge', 'install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'aja', 'ya', 'ngerasa', 'ga', 'di', 'peduliin'];<FreqDist with 13 samples and 13 outcomes>;['install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'ngerasa', 'peduliin'];install peduli lindungitapi kok tetap merasa mempedulikan;install peduli lindungitapi kok tetap rasa peduli;['install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'ngerasa', 'peduliin']
22;22;Negatif;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucuð­  plindungi  httpstcomyvvnsvs;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucu plindungi httpstcomyvvnsvs;['udah', 'klaim', 'sendiri', 'sertifikat', 'nya', 'padahal', 'harusnya', 'auto', 'ke', 'input', 'ga', 'sih', 'tapi', 'kok', 'status', 'di', 'pedulilindungi', 'masih', 'merah', 'ada', 'sertifikat', 'tapi', 'status', 'merah', 'lucu', 'plindungi', 'httpstcomyvvnsvs'];<FreqDist with 23 samples and 27 outcomes>;['klaim', 'sertifikat', 'auto', 'input', 'status', 'pedulilindungi', 'merah', 'sertifikat', 'status', 'merah', 'lucu'];klaim sertifikat auto input status pedulilindungi merah sertifikat status merah lucu plindungi httpstcomyvvnsvs;klaim sertifikat auto input status pedulilindungi merah sertifikat status merah lucu;['klaim', 'sertifikat', 'auto', 'input', 'status', 'pedulilindungi', 'merah', 'sertifikat', 'status', 'merah', 'lucu', 'plindungi', 'httpstcomyvvnsvs']
23;23;Negatif;udah faksin pertama astra  bulan yg lalu smpe skrg aku udh chek di aplikasi plindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;udah faksin pertama astra bulan yg lalu smpe skrg aku udh chek di aplikasi plindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;['udah', 'faksin', 'pertama', 'astra', 'bulan', 'yg', 'lalu', 'smpe', 'skrg', 'aku', 'udh', 'chek', 'di', 'aplikasi', 'plindungi', 'kok', 'blum', 'ada', 'sertifikat', 'vaksin', 'itu', 'kenapa', 'ya', 'kira', 'kira'];<FreqDist with 24 samples and 25 outcomes>;['faksin', 'astra', 'smpe', 'udh', 'chek', 'aplikasi', 'blum', 'sertifikat', 'vaksin'];faksin astra sampai sudah chek aplikasi plindungi belum sertifikat vaksin;faksin astra sampai sudah chek aplikasi belum sertifikat vaksin;['faksin', 'astra', 'smpe', 'udh', 'chek', 'aplikasi', 'plindungi', 'blum', 'sertifikat', 'vaksin']
24;24;Negatif;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik plindungi;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik plindungi;['udah', 'hr', 'ya', 'ini', 'masa', 'iya', 'blm', 'bisa', 'sistem', 'loh', 'ini', 'kecerobohan', 'input', 'nik', 'vaksin', 'sangat', 'merugikan', 'pemilik', 'nik', 'plindungi'];<FreqDist with 18 samples and 20 outcomes>;['sistem', 'kecerobohan', 'input', 'nik', 'vaksin', 'merugikan', 'pemilik', 'nik'];sistem kecerobohan input nik vaksin merugikan pemilik nik plindungi;sistem ceroboh input nik vaksin rugi milik nik;['sistem', 'kecerobohan', 'input', 'nik', 'vaksin', 'merugikan', 'pemilik', 'nik', 'plindungi']
25;25;Negatif;uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing ð;uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing;['uda', 'larilari', 'trs', 'pas', 'mau', 'naik', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'dulu', 'is', 'another', 'anjiiiiing'];<FreqDist with 17 samples and 17 outcomes>;['uda', 'larilari', 'trs', 'pas', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'another', 'anjiiiiing'];sudah larilari terus pas pintu keretanya ketutup gara scan apk pedulilindungi another anjiiiiing;sudah larilari terus pas pintu kereta tutup gara scan apk pedulilindungi another anjiiiiing;['uda', 'larilari', 'trs', 'pas', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'another', 'anjiiiiing']
26;26;Negatif;trus ternyata dah telat anjirð­ pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit ð®ââï¸ sok atu download dulu ð§ gabisa pa memorinya abisð­ ð®ââï¸ ;trus ternyata dah telat anjir pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit sok atu download dulu gabisa pa memorinya abis;['trus', 'ternyata', 'dah', 'telat', 'anjir', 'pa', 'satpam', 'minta', 'scan', 'pedulilindungi', 'pula', 'kan', 'memori', 'aing', 'ga', 'cukup', 'anjrit', 'sok', 'atu', 'download', 'dulu', 'gabisa', 'pa', 'memorinya', 'abis'];<FreqDist with 24 samples and 25 outcomes>;['telat', 'anjir', 'pa', 'satpam', 'scan', 'pedulilindungi', 'memori', 'anjrit', 'sok', 'atu', 'download', 'gabisa', 'pa', 'memorinya', 'abis'];telat anjir apa satpam scan pedulilindungi memori anjrit sok satu download enggak bisa apa memorinya habis;telat anjir apa satpam scan pedulilindungi memori anjrit sok satu download enggak bisa apa memori habis;['telat', 'anjir', 'pa', 'satpam', 'scan', 'pedulilindungi', 'memori', 'anjrit', 'sok', 'atu', 'download', 'gabisa', 'pa', 'memorinya', 'abis']
27;27;Negatif;trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis   tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua;trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua;['trus', 'papa', 'aku', 'malah', 'diminta', 'vaksin', 'kedua', 'padahal', 'vaksinnya', 'udah', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'aja', 'sertifitkat', 'vaksinnya', 'cuma', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'pertama', 'papa', 'aku', 'malah', 'tgl', 'dimana', 'dia', 'vaksin', 'kedua'];<FreqDist with 25 samples and 33 outcomes>;['papa', 'vaksin', 'vaksinnya', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'sertifitkat', 'vaksinnya', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'papa', 'tgl', 'dimana', 'vaksin'];papa vaksin vaksinnya lengkap pas cek peduli lindungi benar sertifitkat vaksinnya vaksin dosis tanggal vaksin papa tanggal dimana vaksin;papa vaksin vaksin lengkap pas cek peduli lindung benar sertifitkat vaksin vaksin dosis tanggal vaksin papa tanggal mana vaksin;['papa', 'vaksin', 'vaksinnya', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'sertifitkat', 'vaksinnya', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'papa', 'tgl', 'dimana', 'vaksin']
28;28;Negatif;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdetâ¦ omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagiâ¦ laposee apdet apdet terus aplikasine;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdet omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagi laposee apdet apdet terus aplikasine;['trus', 'aku', 'coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'dpt', 'notif', 'lg', 'suruh', 'apdet', 'omg', 'apaseeee', 'prasaan', 'baru', 'kapan', 'hari', 'aku', 'apdet', 'skrg', 'dah', 'disuruh', 'apdet', 'lagi', 'laposee', 'apdet', 'apdet', 'terus', 'aplikasine'];<FreqDist with 26 samples and 31 outcomes>;['coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'notif', 'suruh', 'apdet', 'apaseeee', 'prasaan', 'apdet', 'disuruh', 'apdet', 'laposee', 'apdet', 'apdet', 'aplikasine'];coba buka app peduli lindungi punyaku notif suruh apdet apaseeee perasaan apdet disuruh apdet laposee apdet apdet aplikasine;coba buka app peduli lindung punya notif suruh apdet apaseeee asa apdet suruh apdet laposee apdet apdet aplikasine;['coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'notif', 'suruh', 'apdet', 'apaseeee', 'prasaan', 'apdet', 'disuruh', 'apdet', 'laposee', 'apdet', 'apdet', 'aplikasine']
