;Value;tweet;cleaning;tweet_tokens;tweet_stopwords
10;Negatif;waktu itu gue pernah ke mol, mau ngescan aplikasi PeduliLindungi malah gabisa njrit malu bgt mana di depan orang ð¢;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang;['waktu', 'itu', 'gue', 'pernah', 'ke', 'mol', 'mau', 'ngescan', 'aplikasi', 'pedulilindungi', 'malah', 'gabisa', 'njrit', 'malu', 'bgt', 'mana', 'di', 'depan', 'orang'];['gue', 'mol', 'ngescan', 'aplikasi', 'pedulilindungi', 'gabisa', 'njrit', 'malu']
11;Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah RS dan rumahð¥²ðð¥²ð; abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumah;['abis', 'balik', 'jkt', 'blm', 'pake', 'peduli', 'lindungi', 'samsek', 'yg', 'artinya', 'kehidupan', 'hanyalah', 'rs', 'dan', 'rumah'];['abis', 'jkt', 'pake', 'peduli', 'lindungi', 'samsek', 'kehidupan', 'rs', 'rumah']
12;Negatif;Vaksinnya atau sertifikat nya? Sedangkan sy kasih kartu vaksinnya security gamau trima. Gue bilang blm dpt sertifikat nya dia gamau tau, itu anda gak boleh masuk Mall katanya. Terus sy harus ngadu kemana dong pak/bu @PLindungi solusinya apaaaa?;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu solusinya apaaaa;['vaksinnya', 'atau', 'sertifikat', 'nya', 'sedangkan', 'sy', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'bilang', 'blm', 'dpt', 'sertifikat', 'nya', 'dia', 'gamau', 'tau', 'itu', 'anda', 'gak', 'boleh', 'masuk', 'mall', 'katanya', 'terus', 'sy', 'harus', 'ngadu', 'kemana', 'dong', 'pakbu', 'solusinya', 'apaaaa'];['vaksinnya', 'sertifikat', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'sertifikat', 'gamau', 'mall', 'ngadu', 'kemana', 'pakbu', 'solusinya', 'apaaaa']
13;Negatif;Vaksin pertama tidak terdaftar di peduli lindungi Vaksin kedua lompat rono lompat rene, ealah ð;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah;['vaksin', 'pertama', 'tidak', 'terdaftar', 'di', 'peduli', 'lindungi', 'vaksin', 'kedua', 'lompat', 'rono', 'lompat', 'rene', 'ealah'];['vaksin', 'terdaftar', 'peduli', 'lindungi', 'vaksin', 'lompat', 'rono', 'lompat', 'rene']
14;Negatif;Unsr! Gaes mau tanya klo ikut tes suliet kan pke sertif vaksin, klo sy sdh vaksin tp sertif dk pck dibuka krn akun PeduliLindungi eror. Ad saran dk yo?;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo;['unsr', 'gaes', 'mau', 'tanya', 'klo', 'ikut', 'tes', 'suliet', 'kan', 'pke', 'sertif', 'vaksin', 'klo', 'sy', 'sdh', 'vaksin', 'tp', 'sertif', 'dk', 'pck', 'dibuka', 'krn', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk', 'yo'];['unsr', 'tes', 'suliet', 'pke', 'sertif', 'vaksin', 'vaksin', 'sertif', 'dk', 'pck', 'dibuka', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk']
15;Negatif;Uninstall PeduliLindungi  Install PeduliSetan;uninstall pedulilindungi install pedulisetan;['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];['uninstall', 'pedulilindungi', 'install', 'pedulisetan']
16;Negatif;uninstall pedulilindungi;uninstall pedulilindungi;['uninstall', 'pedulilindungi'];['uninstall', 'pedulilindungi']
17;Negatif;Udh vaksin 2 kali tapi sertifikat yg kedua belum keluar, tolonglahhh kerjasamanya @PLindungi @pedulilindungi;udh vaksin kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya;['udh', 'vaksin', 'kali', 'tapi', 'sertifikat', 'yg', 'kedua', 'belum', 'keluar', 'tolonglahhh', 'kerjasamanya'];['udh', 'vaksin', 'sertifikat', 'tolonglahhh', 'kerjasamanya']
18;Negatif;Udh kirim email ke @PLindungi soal sertifikat vaksin kedua yg belum muncul2 padahal udh vaksin dari tanggal 18 agustus. Pagi ini dpt sms lgi malahan sertifikat vaksin pertama. Kan yg gk ada duh sertifikat keduaaa, knpa jdi pertama lgi yg di kirimm????;udh kirim email ke soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm;['udh', 'kirim', 'email', 'ke', 'soal', 'sertifikat', 'vaksin', 'kedua', 'yg', 'belum', 'muncul', 'padahal', 'udh', 'vaksin', 'dari', 'tanggal', 'agustus', 'pagi', 'ini', 'dpt', 'sms', 'lgi', 'malahan', 'sertifikat', 'vaksin', 'pertama', 'kan', 'yg', 'gk', 'ada', 'duh', 'sertifikat', 'keduaaa', 'knpa', 'jdi', 'pertama', 'lgi', 'yg', 'di', 'kirimm'];['udh', 'kirim', 'email', 'sertifikat', 'vaksin', 'muncul', 'udh', 'vaksin', 'tanggal', 'agustus', 'pagi', 'sms', 'lgi', 'sertifikat', 'vaksin', 'sertifikat', 'keduaaa', 'knpa', 'lgi', 'kirimm']
19;Negatif;Udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;['udh', 'gitu', 'sekarang', 'kaga', 'usah', 'tuh', 'scan', 'peduli', 'lindungi', 'lg', 'yhaaa'];['udh', 'kaga', 'scan', 'peduli', 'lindungi', 'yhaaa']
20;Negatif;Udah pada install aplikasi PeduliLindungi kan? Kalau belum, buruan install gih.  Soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  #wisatajagaprokes;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini;['udah', 'pada', 'install', 'aplikasi', 'pedulilindungi', 'kan', 'kalau', 'belum', 'buruan', 'install', 'gih', 'soalnya', 'kalau', 'mau', 'masuk', 'tempat', 'wisata', 'wajib', 'menggunakan', 'aplikasi', 'ini'];['install', 'aplikasi', 'pedulilindungi', 'buruan', 'install', 'wisata', 'wajib', 'aplikasi']
21;Negatif;Udah nge install peduli lindungi,tapi ko tetep aja ya ngerasa ga di peduliin;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin;['udah', 'nge', 'install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'aja', 'ya', 'ngerasa', 'ga', 'di', 'peduliin'];['install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'ngerasa', 'peduliin']
22;Negatif;Udah klaim sendiri sertifikat nya (padahal harusnya auto ke input ga sih) tapi kok status di pedulilindungi masih merah? Ada sertifikat tapi status merah, lucuð­  @PLindungi  https://t.co/1MYVvns2vs;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucu;['udah', 'klaim', 'sendiri', 'sertifikat', 'nya', 'padahal', 'harusnya', 'auto', 'ke', 'input', 'ga', 'sih', 'tapi', 'kok', 'status', 'di', 'pedulilindungi', 'masih', 'merah', 'ada', 'sertifikat', 'tapi', 'status', 'merah', 'lucu'];['klaim', 'sertifikat', 'auto', 'input', 'status', 'pedulilindungi', 'merah', 'sertifikat', 'status', 'merah', 'lucu']
23;Negatif;Udah faksin pertama astra 2 bulan yg lalu smpe skrg aku udh chek di aplikasi @PLindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;udah faksin pertama astra bulan yg lalu smpe skrg aku udh chek di aplikasi kok blum ada sertifikat vaksin itu kenapa ya kira kira;['udah', 'faksin', 'pertama', 'astra', 'bulan', 'yg', 'lalu', 'smpe', 'skrg', 'aku', 'udh', 'chek', 'di', 'aplikasi', 'kok', 'blum', 'ada', 'sertifikat', 'vaksin', 'itu', 'kenapa', 'ya', 'kira', 'kira'];['faksin', 'astra', 'smpe', 'udh', 'chek', 'aplikasi', 'blum', 'sertifikat', 'vaksin']
24;Negatif;Udah 2hr ya ini masa iya blm bisa, sistem loh ini! Kecerobohan input NIK Vaksin, sangat merugikan pemilik NIK! @PLindungi;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik;['udah', 'hr', 'ya', 'ini', 'masa', 'iya', 'blm', 'bisa', 'sistem', 'loh', 'ini', 'kecerobohan', 'input', 'nik', 'vaksin', 'sangat', 'merugikan', 'pemilik', 'nik'];['sistem', 'kecerobohan', 'input', 'nik', 'vaksin', 'merugikan', 'pemilik', 'nik']
25;Negatif;"Uda lari-lari trs pas mau naik, pintu keretanya ketutup gara2 scan apk PeduliLindungi dulu is another ""ANJIIIIING"" ð";uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing;['uda', 'larilari', 'trs', 'pas', 'mau', 'naik', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'dulu', 'is', 'another', 'anjiiiiing'];['uda', 'larilari', 'trs', 'pas', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'another', 'anjiiiiing']
26;Negatif;trus ternyata dah telat anjirð­ pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit ð®ââï¸: sok atu download dulu ð§: gabisa pa memorinya abisð­ ð®ââï¸: ....;trus ternyata dah telat anjir pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit sok atu download dulu gabisa pa memorinya abis;['trus', 'ternyata', 'dah', 'telat', 'anjir', 'pa', 'satpam', 'minta', 'scan', 'pedulilindungi', 'pula', 'kan', 'memori', 'aing', 'ga', 'cukup', 'anjrit', 'sok', 'atu', 'download', 'dulu', 'gabisa', 'pa', 'memorinya', 'abis'];['telat', 'anjir', 'pa', 'satpam', 'scan', 'pedulilindungi', 'memori', 'anjrit', 'sok', 'atu', 'download', 'gabisa', 'pa', 'memorinya', 'abis']
27;Negatif;"Trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap, pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis 1 ( tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua):""(((";trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua;['trus', 'papa', 'aku', 'malah', 'diminta', 'vaksin', 'kedua', 'padahal', 'vaksinnya', 'udah', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'aja', 'sertifitkat', 'vaksinnya', 'cuma', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'pertama', 'papa', 'aku', 'malah', 'tgl', 'dimana', 'dia', 'vaksin', 'kedua'];['papa', 'vaksin', 'vaksinnya', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'sertifitkat', 'vaksinnya', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'papa', 'tgl', 'dimana', 'vaksin']
28;Negatif;Trus aku coba buka app peduli lindungi punyaku, dpt notif lg suruh apdetâ¦ omg apaseeee prasaan baru kapan hari aku apdet, skrg dah disuruh apdet lagiâ¦ laposee apdet apdet terus aplikasine;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdet omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagi laposee apdet apdet terus aplikasine;['trus', 'aku', 'coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'dpt', 'notif', 'lg', 'suruh', 'apdet', 'omg', 'apaseeee', 'prasaan', 'baru', 'kapan', 'hari', 'aku', 'apdet', 'skrg', 'dah', 'disuruh', 'apdet', 'lagi', 'laposee', 'apdet', 'apdet', 'terus', 'aplikasine'];['coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'notif', 'suruh', 'apdet', 'apaseeee', 'prasaan', 'apdet', 'disuruh', 'apdet', 'laposee', 'apdet', 'apdet', 'aplikasine']
29;Negatif;Tp ini mslhny apk peduli lindungi gw kok gada data vaksin w sic;tp ini mslhny apk peduli lindungi gw kok gada data vaksin  sic;['tp', 'ini', 'mslhny', 'apk', 'peduli', 'lindungi', 'gw', 'kok', 'gada', 'data', 'vaksin', 'sic'];['mslhny', 'apk', 'peduli', 'lindungi', 'gada', 'data', 'vaksin', 'sic']
30;Negatif;Tombol check out tanpa scan QR Code-nya sudah ngga tersedia, @PLindungi ?  https://t.co/JtjBSqDZO2;tombol check out tanpa scan qr codenya sudah ngga tersedia;['tombol', 'check', 'out', 'tanpa', 'scan', 'qr', 'codenya', 'sudah', 'ngga', 'tersedia'];['tombol', 'check', 'out', 'scan', 'qr', 'codenya', 'ngga', 'tersedia']
31;Negatif;Tolonglah untuk Petugas Vaksin kalau input data yang benar &amp;tolonglah untuk petugas vaksin kalau input data yang benar amp;['tolonglah', 'untuk', 'petugas', 'vaksin', 'kalau', 'input', 'data', 'yang', 'benar', 'amp'];['tolonglah', 'petugas', 'vaksin', 'input', 'data']
32;Negatif;Tolongin ini kenapa, udah hubungi email pedulilindungi@kominfo.go.id ga ada balesan, hubungi sertifikat@pedulilindungi.id malah disuruh hubungi email yang pedulilindungi@kominfo.go.id. Tolong bantuin, aku susah masuk ke tempat umum dan transportasi umum??? @PLindungi @kemkominfo  https://t.co/Qe3AXEciFU;tolongin ini kenapa udah hubungi email pedulilindungi goid ga ada balesan hubungi sertifikat id malah disuruh hubungi email yang pedulilindungi goid tolong bantuin aku susah masuk ke tempat umum dan transportasi umum;['tolongin', 'ini', 'kenapa', 'udah', 'hubungi', 'email', 'pedulilindungi', 'goid', 'ga', 'ada', 'balesan', 'hubungi', 'sertifikat', 'id', 'malah', 'disuruh', 'hubungi', 'email', 'yang', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'aku', 'susah', 'masuk', 'ke', 'tempat', 'umum', 'dan', 'transportasi', 'umum'];['tolongin', 'hubungi', 'email', 'pedulilindungi', 'goid', 'balesan', 'hubungi', 'sertifikat', 'id', 'disuruh', 'hubungi', 'email', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'susah', 'transportasi']
33;Negatif;Tolong segera rubah regulasi pengambilan nomer antrian RSUD pelabuhan ratu ..karena sudah mengabaikan protokol kesehatan #dinkes #pelabuhanratu #jawabarat #pedulilindungi #ProkesKetat #gubernurjawabarat  https://t.co/sZQnLqqqs4;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu karena sudah mengabaikan protokol kesehatan;['tolong', 'segera', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'karena', 'sudah', 'mengabaikan', 'protokol', 'kesehatan'];['tolong', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'mengabaikan', 'protokol', 'kesehatan']
34;Negatif;Tolong dong ini gimana caranya deh, gmail gw kaga bisa di pake sama sekali, gw mau login di pedulilindungi @gmail;tolong dong ini gimana caranya deh gmail gw kaga bisa di pake sama sekali gw mau login di pedulilindungi;['tolong', 'dong', 'ini', 'gimana', 'caranya', 'deh', 'gmail', 'gw', 'kaga', 'bisa', 'di', 'pake', 'sama', 'sekali', 'gw', 'mau', 'login', 'di', 'pedulilindungi'];['tolong', 'gmail', 'kaga', 'pake', 'login', 'pedulilindungi']
35;Negatif;Tiwas download aplikasi peduli lindungi Malah ora enek seng peduli blas,ð­;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas;['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'malah', 'ora', 'enek', 'seng', 'peduli', 'blas'];['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'ora', 'enek', 'peduli', 'blas']
36;Negatif;Terus gunanya vaksin apa dong kalo pd masih takut tertular? Apa kalian ga mau kembali hidup normal, layaknya sblm covid yg ga harus selalu pake masker kemana mana, ga ada persyaratan mcm pedulilindungi, dan bisa bikin kerumunan?;terus gunanya vaksin apa dong kalo pd masih takut tertular apa kalian ga mau kembali hidup normal layaknya sblm covid yg ga harus selalu pake masker kemana mana ga ada persyaratan mcm pedulilindungi dan bisa bikin kerumunan;['terus', 'gunanya', 'vaksin', 'apa', 'dong', 'kalo', 'pd', 'masih', 'takut', 'tertular', 'apa', 'kalian', 'ga', 'mau', 'kembali', 'hidup', 'normal', 'layaknya', 'sblm', 'covid', 'yg', 'ga', 'harus', 'selalu', 'pake', 'masker', 'kemana', 'mana', 'ga', 'ada', 'persyaratan', 'mcm', 'pedulilindungi', 'dan', 'bisa', 'bikin', 'kerumunan'];['gunanya', 'vaksin', 'takut', 'tertular', 'hidup', 'normal', 'layaknya', 'covid', 'pake', 'masker', 'kemana', 'persyaratan', 'mcm', 'pedulilindungi', 'kerumunan']
37;Negatif;Ternyata tidak mudah menjadi warga negara yang baik. Maksud hati menuruti aturan pemerintah, apa daya terbentur mekanisme yang entah lah.... @PLindungi @pedulilindungi  https://t.co/9uQZFErkYU;ternyata tidak mudah menjadi warga negara yang baik maksud hati menuruti aturan pemerintah apa daya terbentur mekanisme yang entah lah;['ternyata', 'tidak', 'mudah', 'menjadi', 'warga', 'negara', 'yang', 'baik', 'maksud', 'hati', 'menuruti', 'aturan', 'pemerintah', 'apa', 'daya', 'terbentur', 'mekanisme', 'yang', 'entah', 'lah'];['mudah', 'warga', 'negara', 'hati', 'menuruti', 'aturan', 'pemerintah', 'daya', 'terbentur', 'mekanisme']
38;Negatif;Ternyata data gue belum diinput. Terus mereka ngapain ngedata gue pas ditempat vaksin? Kalo trnyata gak diinput? Gue minta kontak untuk pengaduan tp mereka malah bilang 100% menerima dr faskes. @PLindungi  https://t.co/cr1yLTtQ6B;ternyata data gue belum diinput terus mereka ngapain ngedata gue pas ditempat vaksin kalo trnyata gak diinput gue minta kontak untuk pengaduan tp mereka malah bilang menerima dr faskes;['ternyata', 'data', 'gue', 'belum', 'diinput', 'terus', 'mereka', 'ngapain', 'ngedata', 'gue', 'pas', 'ditempat', 'vaksin', 'kalo', 'trnyata', 'gak', 'diinput', 'gue', 'minta', 'kontak', 'untuk', 'pengaduan', 'tp', 'mereka', 'malah', 'bilang', 'menerima', 'dr', 'faskes'];['data', 'gue', 'diinput', 'ngapain', 'ngedata', 'gue', 'pas', 'ditempat', 'vaksin', 'trnyata', 'diinput', 'gue', 'kontak', 'pengaduan', 'menerima', 'faskes']
39;Negatif;Temen yang diajak nonton malah vaksinnya gak ke deteksi di PeduliLindungi, mending nontonnya besok saja lah ðð;temen yang diajak nonton malah vaksinnya gak ke deteksi di pedulilindungi mending nontonnya besok saja lah;['temen', 'yang', 'diajak', 'nonton', 'malah', 'vaksinnya', 'gak', 'ke', 'deteksi', 'di', 'pedulilindungi', 'mending', 'nontonnya', 'besok', 'saja', 'lah'];['temen', 'diajak', 'nonton', 'vaksinnya', 'deteksi', 'pedulilindungi', 'mending', 'nontonnya', 'besok']
40;Negatif;Telat 3 menit gara2 scan qr pedulilindungi error terus;telat menit gara scan qr pedulilindungi error terus;['telat', 'menit', 'gara', 'scan', 'qr', 'pedulilindungi', 'error', 'terus'];['telat', 'menit', 'gara', 'scan', 'qr', 'pedulilindungi', 'error']
41;Negatif;Tanyarl, hi! Ada yg sertifikal v4ks1n nya salah nama ga? Aku mau ajuin v4ks1n ke 2 gagal mulu di peduli lindungi karna nama, masa harus ditypoin? ð­ harus gimana ya? Pls help me guys ð­ðð»  https://t.co/RLYcAAS7ZS;tanyarl hi ada yg sertifikal vksn nya salah nama ga aku mau ajuin vksn ke gagal mulu di peduli lindungi karna nama masa harus ditypoin harus gimana ya pls help me guys;['tanyarl', 'hi', 'ada', 'yg', 'sertifikal', 'vksn', 'nya', 'salah', 'nama', 'ga', 'aku', 'mau', 'ajuin', 'vksn', 'ke', 'gagal', 'mulu', 'di', 'peduli', 'lindungi', 'karna', 'nama', 'masa', 'harus', 'ditypoin', 'harus', 'gimana', 'ya', 'pls', 'help', 'me', 'guys'];['tanyarl', 'hi', 'sertifikal', 'vksn', 'salah', 'nama', 'ajuin', 'vksn', 'gagal', 'mulu', 'peduli', 'lindungi', 'karna', 'nama', 'ditypoin', 'pls', 'help']
42;Negatif;Tanyarl kan aku mau vaksieen ke-2 tp gada kertas vaksien nya, terus aku coba di peduli lindungi tapi nik nya gak valid. Itu kira2 kenapa yaaa???  https://t.co/B5q9VID7f0;tanyarl kan aku mau vaksieen ke tp gada kertas vaksien nya terus aku coba di peduli lindungi tapi nik nya gak valid itu kira kenapa yaaa;['tanyarl', 'kan', 'aku', 'mau', 'vaksieen', 'ke', 'tp', 'gada', 'kertas', 'vaksien', 'nya', 'terus', 'aku', 'coba', 'di', 'peduli', 'lindungi', 'tapi', 'nik', 'nya', 'gak', 'valid', 'itu', 'kira', 'kenapa', 'yaaa'];['tanyarl', 'vaksieen', 'gada', 'kertas', 'vaksien', 'coba', 'peduli', 'lindungi', 'nik', 'valid']
43;Negatif;Tai lah udah buru buru ke rumah sakit end up nya di prank sama @pedulilindungi @KemenkesRI astra zeneca 3 bulan blok.  https://t.co/QBK8WDtowm;tai lah udah buru buru ke rumah sakit end up nya di prank sama astra zeneca bulan blok;['tai', 'lah', 'udah', 'buru', 'buru', 'ke', 'rumah', 'sakit', 'end', 'up', 'nya', 'di', 'prank', 'sama', 'astra', 'zeneca', 'bulan', 'blok'];['tai', 'buru', 'buru', 'rumah', 'sakit', 'end', 'up', 'prank', 'astra', 'zeneca', 'blok']
44;Negatif;tadi siang mau bukak peduli lindungi malah bukak kita bisa , tolol bgt asli;tadi siang mau bukak peduli lindungi malah bukak kita bisa tolol bgt asli;['tadi', 'siang', 'mau', 'bukak', 'peduli', 'lindungi', 'malah', 'bukak', 'kita', 'bisa', 'tolol', 'bgt', 'asli'];['siang', 'bukak', 'peduli', 'lindungi', 'bukak', 'tolol', 'asli']
